# Residuals       
# Time            	p                 	Ux                	Uz                	k                 	omega             
234               	5.0772444784e-05	1.2109491861e-05	2.8472479794e-04	5.8215069203e-06	4.0695105009e-07
235               	4.9885808049e-05	1.2070140693e-05	2.8324741929e-04	5.7994126477e-06	4.0457168579e-07
236               	4.9195321538e-05	1.2028073797e-05	2.8170730544e-04	5.7775553683e-06	4.0222090151e-07
237               	4.8502583656e-05	1.1984829938e-05	2.8019082538e-04	5.7561974763e-06	3.9989360834e-07
238               	4.7767499817e-05	1.1941977043e-05	2.7874376492e-04	5.7355345609e-06	3.9758178932e-07
239               	4.7131578013e-05	1.1899637624e-05	2.7734591990e-04	5.7154057581e-06	3.9528958265e-07
240               	4.6538050960e-05	1.1857397647e-05	2.7593792822e-04	5.6951673631e-06	3.9301984154e-07
241               	4.5886934694e-05	1.1815175209e-05	2.7450391215e-04	5.6749165116e-06	3.9076702421e-07
242               	4.5322025373e-05	1.1773322040e-05	2.7311070974e-04	5.6546847359e-06	3.8853751480e-07
243               	4.4831149548e-05	1.1731972987e-05	2.7177272484e-04	5.6343053611e-06	3.8643448163e-07
244               	4.4329067957e-05	1.1690858597e-05	2.7046231336e-04	5.6142887675e-06	3.8427036765e-07
245               	4.3900166425e-05	1.1649563797e-05	2.6913175206e-04	5.5943702905e-06	3.8210569013e-07
246               	4.3464820213e-05	1.1608163717e-05	2.6775529558e-04	5.5744923776e-06	3.7998799474e-07
247               	4.3025919428e-05	1.1567055776e-05	2.6637084093e-04	5.5547497865e-06	3.7787871900e-07
248               	4.2667829864e-05	1.1526445163e-05	2.6501532398e-04	5.5351591572e-06	3.7578922050e-07
249               	4.2336191861e-05	1.1486145417e-05	2.6371084042e-04	5.5158034683e-06	3.7371874877e-07
250               	4.2025697623e-05	1.1445899092e-05	2.6243808466e-04	5.4965083633e-06	3.7164849226e-07
251               	4.1744832494e-05	1.1405674213e-05	2.6117995233e-04	5.4772446211e-06	3.6960958638e-07
252               	4.1414475692e-05	1.1365567331e-05	2.5991286409e-04	5.4583698800e-06	3.6760360617e-07
253               	4.1153841466e-05	1.1325760820e-05	2.5864669626e-04	5.4398345731e-06	3.6563086771e-07
254               	4.0889999750e-05	1.1286358836e-05	2.5738825323e-04	5.4213298915e-06	3.6367366454e-07
255               	4.0596884380e-05	1.1247211252e-05	2.5613479897e-04	5.4032488966e-06	3.6173201828e-07
256               	4.0324139241e-05	1.1208339413e-05	2.5488763978e-04	5.3858033482e-06	3.5981619365e-07
257               	4.0092540768e-05	1.1169693342e-05	2.5364796646e-04	5.3691592973e-06	3.5791360192e-07
258               	3.9925785232e-05	1.1131477932e-05	2.5241809339e-04	5.3525572369e-06	3.5603233037e-07
